audio_name,applied_effects,GA_effects,similarity_indv,similarity_indv_effects_only
0.mp3,"{2: {'drive_db': 9.69}, 0: {'rate_hz': 3.58}, 1: {'delay_seconds': 7.63}}","{1: {'delay_seconds': 8.23}, 5: {'wet_level': 0.46}, 2: {'drive_db': 14.81}, 0: {'rate_hz': 5.94}, 3: {'gain_db': 29.99}}",0.5539742324024337,0.6000000000000001
1.mp3,"{0: {'rate_hz': 28.69}, 5: {'wet_level': 0.57}}",{1: {'delay_seconds': 7.34}},0.0,0.0
2.mp3,"{1: {'delay_seconds': 9.72}, 5: {'wet_level': 0.19}, 2: {'drive_db': 11.16}, 4: {'depth': 0.85}}","{4: {'depth': 0.88}, 3: {'gain_db': -46.16}, 0: {'rate_hz': 22.36}, 1: {'delay_seconds': 8.35}, 5: {'wet_level': 0.14}}",0.55240619704672,0.6000000000000001
3.mp3,"{5: {'wet_level': 0.9}, 1: {'delay_seconds': 5.02}, 0: {'rate_hz': 47.22}}","{3: {'gain_db': -13.16}, 2: {'drive_db': 47.02}, 4: {'depth': 0.79}, 1: {'delay_seconds': 7.67}, 5: {'wet_level': 0.08}}",0.11220008853474986,0.4
4.mp3,"{1: {'delay_seconds': 0.83}, 0: {'rate_hz': 22.64}}","{0: {'rate_hz': 10.0}, 4: {'depth': 0.68}, 5: {'wet_level': 0.02}, 1: {'delay_seconds': 0.56}, 2: {'drive_db': 8.17}}",0.36143284551598615,0.4
5.mp3,"{0: {'rate_hz': 77.06}, 1: {'delay_seconds': 5.09}, 2: {'drive_db': 45.35}, 4: {'depth': 0.79}, 3: {'gain_db': 18.76}}","{3: {'gain_db': 36.84}, 5: {'wet_level': 0.71}, 2: {'drive_db': 45.65}, 1: {'delay_seconds': 3.24}, 0: {'rate_hz': 76.57}}",0.6721249542600458,0.8
6.mp3,"{0: {'rate_hz': 46.64}, 5: {'wet_level': 0.24}, 1: {'delay_seconds': 6.58}, 2: {'drive_db': 23.53}, 4: {'depth': 0.21}, 3: {'gain_db': -28.97}}","{1: {'delay_seconds': 6.51}, 2: {'drive_db': 36.93}, 0: {'rate_hz': 12.99}}",0.30875100689453033,0.5
7.mp3,"{3: {'gain_db': -30.73}, 4: {'depth': 0.45}, 5: {'wet_level': 0.11}, 1: {'delay_seconds': 3.9}}","{0: {'rate_hz': 30.04}, 2: {'drive_db': 28.92}, 3: {'gain_db': 47.48}, 5: {'wet_level': 0.77}, 1: {'delay_seconds': 4.52}, 4: {'depth': 0.02}}",0.23436410031026705,0.6666666666666666
8.mp3,"{2: {'drive_db': 13.05}, 5: {'wet_level': 0.48}, 4: {'depth': 0.58}}","{4: {'depth': 0.51}, 1: {'delay_seconds': 4.19}, 2: {'drive_db': 49.47}}",0.2978846841802374,0.6666666666666666
9.mp3,"{1: {'delay_seconds': 2.11}, 3: {'gain_db': -10.1}, 4: {'depth': 0.29}, 2: {'drive_db': 40.31}, 5: {'wet_level': 0.43}}","{5: {'wet_level': 0.35}, 4: {'depth': 0.65}, 2: {'drive_db': 37.02}}",0.454197880927384,0.6000000000000001
10.mp3,"{2: {'drive_db': 7.04}, 1: {'delay_seconds': 2.09}, 3: {'gain_db': -39.93}}","{3: {'gain_db': -46.77}, 1: {'delay_seconds': 9.01}, 5: {'wet_level': 1.0}, 0: {'rate_hz': 38.57}, 4: {'depth': 0.53}}",0.2098197741381378,0.4
11.mp3,{1: {'delay_seconds': 4.12}},"{4: {'depth': 0.5}, 0: {'rate_hz': 0.78}, 1: {'delay_seconds': 4.98}, 3: {'gain_db': -48.61}, 5: {'wet_level': 0.28}}",0.1707482993197279,0.2
12.mp3,"{4: {'depth': 0.06}, 5: {'wet_level': 0.68}}","{1: {'delay_seconds': 6.65}, 5: {'wet_level': 0.6}, 2: {'drive_db': 21.84}, 3: {'gain_db': -42.66}}",0.2205882352941176,0.25
13.mp3,{1: {'delay_seconds': 8.66}},"{1: {'delay_seconds': 1.29}, 4: {'depth': 0.11}, 2: {'drive_db': 22.84}}",0.049653579676674345,0.3333333333333333
14.mp3,"{0: {'rate_hz': 95.42}, 5: {'wet_level': 0.55}, 1: {'delay_seconds': 9.34}, 4: {'depth': 0.49}}","{0: {'rate_hz': 15.73}, 3: {'gain_db': 48.43}, 5: {'wet_level': 0.37}, 2: {'drive_db': 45.65}, 1: {'delay_seconds': 4.29}, 4: {'depth': 0.93}}",0.23902451434807306,0.6666666666666666
15.mp3,{3: {'gain_db': -7.16}},{3: {'gain_db': -17.53}},0.8185794261721483,1.0
16.mp3,{3: {'gain_db': -43.78}},"{3: {'gain_db': -38.62}, 5: {'wet_level': 0.06}, 1: {'delay_seconds': 0.61}}",0.3149925357219023,0.3333333333333333
17.mp3,"{2: {'drive_db': 21.45}, 3: {'gain_db': -17.03}, 4: {'depth': 0.66}, 1: {'delay_seconds': 4.11}}","{2: {'drive_db': 33.98}, 3: {'gain_db': -25.72}, 5: {'wet_level': 0.19}, 4: {'depth': 0.69}, 1: {'delay_seconds': 8.81}, 0: {'rate_hz': 1.07}}",0.43134336723077976,0.6666666666666666
18.mp3,"{3: {'gain_db': -28.19}, 2: {'drive_db': 33.57}, 4: {'depth': 0.86}}","{4: {'depth': 0.51}, 1: {'delay_seconds': 2.13}, 5: {'wet_level': 0.24}, 0: {'rate_hz': 5.11}}",0.14825581395348836,0.25
19.mp3,"{5: {'wet_level': 0.58}, 4: {'depth': 0.85}, 0: {'rate_hz': 53.44}, 2: {'drive_db': 45.69}}","{4: {'depth': 0.93}, 1: {'delay_seconds': 1.91}, 0: {'rate_hz': 46.38}, 5: {'wet_level': 0.43}, 3: {'gain_db': -36.48}}",0.5030301769685781,0.6000000000000001
20.mp3,"{3: {'gain_db': -39.56}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 22.09}, 1: {'delay_seconds': 2.97}, 2: {'drive_db': 16.52}}",{4: {'depth': 0.76}},0.0,0.0
21.mp3,"{0: {'rate_hz': 2.76}, 3: {'gain_db': 22.25}, 1: {'delay_seconds': 0.79}, 5: {'wet_level': 0.94}}","{2: {'drive_db': 42.9}, 0: {'rate_hz': 7.11}, 4: {'depth': 0.11}}",0.23881633072809544,0.25
22.mp3,"{2: {'drive_db': 28.94}, 0: {'rate_hz': 22.26}, 4: {'depth': 0.4}, 5: {'wet_level': 0.18}, 1: {'delay_seconds': 4.77}, 3: {'gain_db': -0.28}}","{5: {'wet_level': 0.41}, 1: {'delay_seconds': 9.71}, 2: {'drive_db': 18.64}}",0.23650879152105764,0.5
23.mp3,"{3: {'gain_db': 48.06}, 5: {'wet_level': 0.84}, 1: {'delay_seconds': 2.95}, 2: {'drive_db': 29.0}, 4: {'depth': 0.89}, 0: {'rate_hz': 30.64}}","{2: {'drive_db': 44.62}, 4: {'depth': 0.83}, 1: {'delay_seconds': 2.21}, 3: {'gain_db': 34.99}, 0: {'rate_hz': 29.96}, 5: {'wet_level': 0.87}}",0.8516991817158915,0.9999999999999999
24.mp3,"{1: {'delay_seconds': 2.0}, 0: {'rate_hz': 19.02}, 2: {'drive_db': 9.46}, 3: {'gain_db': -7.75}, 5: {'wet_level': 0.7}}","{5: {'wet_level': 0.48}, 0: {'rate_hz': 20.13}, 4: {'depth': 0.19}}",0.33440143950887347,0.4
25.mp3,"{2: {'drive_db': 27.77}, 5: {'wet_level': 0.38}, 1: {'delay_seconds': 0.46}, 3: {'gain_db': 10.99}, 4: {'depth': 0.72}}","{5: {'wet_level': 0.46}, 3: {'gain_db': 19.9}, 2: {'drive_db': 37.19}, 1: {'delay_seconds': 8.06}, 4: {'depth': 0.73}}",0.7150257295346918,1.0
26.mp3,"{1: {'delay_seconds': 6.75}, 2: {'drive_db': 26.27}, 0: {'rate_hz': 70.89}, 5: {'wet_level': 0.43}, 3: {'gain_db': -1.17}, 4: {'depth': 0.86}}","{3: {'gain_db': 47.18}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 67.0}, 2: {'drive_db': 31.96}, 1: {'delay_seconds': 2.1}, 4: {'depth': 0.9}}",0.6162270133086867,0.9999999999999999
27.mp3,"{2: {'drive_db': 19.07}, 3: {'gain_db': 2.36}, 0: {'rate_hz': 95.24}, 4: {'depth': 0.43}}","{0: {'rate_hz': 75.41}, 4: {'depth': 0.83}, 1: {'delay_seconds': 4.25}}",0.2725086945629509,0.5
